GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app-order,org.example.order.application.configuration,ExceptionHandlerAdvice,14,0,0,0,4,0,4,0,4,0
app-order,org.example.order.application.configuration,BeanConfiguration,7,0,0,0,2,0,2,0,2,0
app-order,org.example.order.adapters.presenters,PedidoPresenter,3,133,0,4,1,26,1,5,1,3
app-order,org.example.order.core.domain,Pedido,0,84,0,4,0,26,0,14,0,12
app-order,org.example.order.core.domain,PedidoItem,0,45,0,4,0,13,0,7,0,5
app-order,org.example.order.application.controllers.atualizarStatus,AtualizarStatusPagamentoController,0,19,0,0,0,3,0,1,0,1
app-order,org.example.order.application.controllers.atualizarStatus,AtualizarStatusPedidoController,0,18,0,0,0,3,0,1,0,1
app-order,org.example.order.application.controllers.create,CreatePedidoController,0,49,0,2,0,7,0,2,0,1
app-order,org.example.order.core.applications.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
app-order,org.example.order.core.applications.exception,RegraDeNegocioException,0,4,0,0,0,2,0,1,0,1
app-order,org.example.order.application.controllers.pagamentoAprovado,PagamentoAprovadoPedidoController,0,14,0,0,0,2,0,1,0,1
app-order,org.example.order.core.applications.usecases.criarPedido,CriarPedido,10,80,2,8,2,17,2,6,0,3
app-order,org.example.order.core.applications.usecases.criarPedido,CriarPedidoItemInput,0,12,0,0,0,1,0,1,0,1
app-order,org.example.order.core.applications.usecases.criarPedido,CriarPedidoInput,0,9,0,0,0,1,0,1,0,1
app-order,org.example.order.application.controllers.listaStatus,ListaPorStatusPedidoController,0,14,0,0,0,2,0,1,0,1
app-order,org.example.order.application.controllers.atualizarStatus.requests,AtualizarStatusPedidoRequest,0,6,0,0,0,1,0,1,0,1
app-order,org.example.order.application.controllers.atualizarStatus.requests,AtualizarStatusPagamentoRequest,0,9,0,0,0,1,0,1,0,1
app-order,org.example.order.application.controllers.create.requests,PedidoCreateItemRequest,0,12,0,0,0,1,0,1,0,1
app-order,org.example.order.application.controllers.create.requests,PedidoCreateRequest,0,9,0,0,0,1,0,1,0,1
app-order,org.example.order,AppOrderApplication,8,0,0,0,3,0,2,0,2,0
app-order,org.example.order.adapters.controllers,PedidoController,0,77,0,0,0,17,0,7,0,7
app-order,org.example.order.adapters.gateways,PedidoGateway,236,0,10,0,58,0,12,0,7,0
app-order,org.example.order.application.controllers.listar,ListarPedidoController,0,13,0,0,0,2,0,1,0,1
app-order,org.example.order.core.applications.usecases,GetPedidosByStatus,0,11,0,0,0,4,0,2,0,2
app-order,org.example.order.core.applications.usecases,AtualizarStatusPagamento,0,26,0,2,0,8,0,3,0,2
app-order,org.example.order.core.applications.usecases,GetPedido,0,20,0,2,0,7,0,3,0,2
app-order,org.example.order.core.applications.usecases,AtualizarStatusPedido,0,26,0,2,0,8,0,3,0,2
app-order,org.example.order.core.applications.usecases,GetPedidos,0,10,0,0,0,4,0,2,0,2
app-order,org.example.order.core.domain.enums,StatusPagamento,0,21,0,0,0,2,0,1,0,1
app-order,org.example.order.core.domain.enums,StatusPedido,0,27,0,0,0,2,0,1,0,1
